quarter,date,btc_holdings,avg_cost_usd,shares_outstanding,reported_net_income_usd,is_actual_asc360
2021Q1,2021-03-31,5134,20000,99370465,-2010618,False
2021Q2,2021-06-30,6695,22000,99634123,-2543015,False
2021Q3,2021-09-30,7754,24000,102506558,-3034830,False
2021Q4,2021-12-31,8133,30000,102733273,59000000,False
2022Q1,2022-03-31,9374,31000,106051713,-3565014,False
2022Q2,2022-06-30,10054,30800,113865235,-2400811,False
2022Q3,2022-09-30,11466,30600,116810405,-5119339,False
2022Q4,2022-12-31,12232,30000,145565916,-687000000,False
2023Q1,2023-03-31,13726,29700,167259602,-1868536,False
2023Q2,2023-06-30,12538,29500,174209038,-2613813,False
2023Q3,2023-09-30,13726,29400,210184718,-5762941,False
2023Q4,2023-12-31,15174,29300,242829391,661000000,False
2024Q1,2024-03-31,17320,37410,268944172,13453207,False
2024Q2,2024-06-30,18488,40718,287046579,-2221646,False
2024Q3,2024-09-30,26747,46985,304912746,-3413326,False
2024Q4,2024-12-31,44893,62757,340258453,528528000,False
2025Q1,2025-03-31,47532,64278,346279403,-2192980,True
2025Q2,2025-06-30,49951,68623,362337906,-2152459,True
2025Q3,2025-09-30,52850,87752,378601057,26806,True
2025Q4,2025-12-31,53822,90000,379464892,-1709376000,True
